survived;name;result algo (0.78645);comparison;checked
0;"KELLY, Mr James";0;1;1
1;"WILKES, Mrs Ellen";1;1;
0;"MYLES, Mr Thomas";0;1;1
0;"WIRZ, Mr Albert";0;1;1
1;"HIRVONEN, Mrs Helga";1;1;
1;"SVENSSON, Mr Johan";0;0;1
1;"CONNOLLY, Miss Kate";1;1;
1;"CALDWELL, Mr Albert";0;0;1
1;"ABRAHIM, Mrs Sophie";1;1;
0;"DAVIES, Mr John";0;1;1
0;"ILIEFF, Mr Ylio";0;1;1
0;"JONES, Mr Charles";0;1;1
1;"SNYDER, Mrs Nelle";1;1;
0;"HOWARD, Mr Benjamin";0;1;1
1;"CHAFFEE, Mrs Carrie";1;1;
1;"DEL CARLO, Mrs Argenia";1;1;
0;"KEANE, Mr Daniel";0;1;1
0;"ASSAF, Mr Gerios";0;1;1
0;"ILMAKANGAS, Miss Ida";0;1;1
1;"ASSAF KHALIL, Mrs Miriam";1;1;
0;"ROTHSCHILD, Mr Martin";0;1;1
1;"OLSEN, Master Artur";0;0;1
1;"FLEGENHEIM, Mrs Antoinette";1;1;
1;"WILLIAMS, Mr Richard";0;0;1
1;"RYERSON, Mrs Emily";1;1;
0;"ROBINS, Mr Alexander";0;1;1
1;"OSTBY, Miss Helene";1;1;
0;"DAHER, Mr Shedid";0;1;1
0;"BRADY, Mr John";0;1;1
0;"SAMAAN, Mr Elias";0;1;1
0;"LOUCH, Mr Charles";0;1;1
0;"JEFFERYS, Mr Clifford";0;1;1
1;"DEAN, Mrs Eva";1;1;
0;"JOHNSTON, Mrs Elizabeth";1;0;1
1;"MOCK, Mr Philipp";0;0;1
0;"KATAVELAS, Mr Catavelas";0;1;1
1;"ROTH, Miss Sarah";1;1;
0;"CACIC, Miss Manda";1;0;1
1;"SAP, Mr Julius";0;0;1
1;"HEE, Mr Ling";0;0;1
1;"KARUN, Mr Franz";0;0;1
0;"FRANKLIN, Mr Thomas";0;1;1
0;"GOLDSMITH, Mr Nathan";0;1;1
0;"CORBETT, Mrs Irene";1;0;1
1;"KIMBALL, Mrs Gertrude";1;1;
0;"PELTOMAKI, Mr Nikolai";0;1;1
1;"CHEVRE, Mr Paul";0;0;
0;"SHAUGHNESSY, Mr Patrick";0;1;1
1;"BUCKNELL, Mrs Emma";1;1;
1;"COUTTS, Mrs Winnie";1;1;
0;"SMITH, Mr Lucien";0;1;1
0;"PULBAUM, Mr Franz";0;1;1
1;"HOCKING, Miss Ellen";1;1;
1;"FORTUNE, Miss Ethel";1;1;
0;"MANGIAVACCHI, Mr Serafino";0;1;1
0;"RICE, Master Albert";0;1;1
0;"COR, Mr Bartol";0;1;1
1;"ABELSETH, Mr Olaus";0;0;1
0;"DAVISON, Mr Thomas";0;1;1
1;"CHAUDANSON, Miss Victorine";1;1;
0;"DIKA, Mr Mirko";0;1;1
0;"MCCRAE, Mr Arthur";0;1;?
0;"BJORKLUND, Mr Ernst";0;1;1
1;"BRADLEY, Miss Bridget";1;1;
1;"RYERSON, Master John";1;1;
0;"COREY, Mrs Mary";1;0;1
0;"BURNS, Miss Mary";1;0;1
0;"MOORE, Mr Clarence";0;1;1
1;"TUCKER, Mr Gilbert";0;0;1
1;"FORTUNE, Mrs Mary";1;1;
1;"MULVIHILL, Miss Bertha";1;1;
0;"MINKOFF, Mr Lazar";0;1;1
0;"NIEMINEN, Miss Manta";1;0;1
0;"OVIES Y RODRIGUEZ, Mr Servando";1;0;1
1;"GEIGER, Miss Amalie";1;1;
0;"KEEPING, Mr Edwin";1;0;1
0;"MILES, Mr Frank";0;1;1
1;"CORNELL, Mrs Malvina";1;1;
0;"ALDWORTH, Mr Charles";0;1;1
0;"DOYLE, Miss Elizabeth";1;0;1
0;"BOULOS, Master Akar";1;0;1
0;"STRAUS, Mr Isidor";0;1;1
0;"CASE, Mr Howard";0;1;1
0;"DEMETRI, Mr Marinko";0;1;1
0;"LAMB, Mr John";0;1;1
0;"KHALIL, Mr Betros";0;1;1
0;"BARRY, Miss Julia";1;0;1
1;"BADMAN, Miss Emily";1;1;
0;"O'DONOGHUE, Ms Bridget";1;0;1
1;"WELLS, Master Ralph";1;1;
1;"DYKER, Mrs Anna";1;1;
0;"PEDERSEN, Mr Olaf";0;1;1
1;"DAVIDSON, Mrs Orian";1;1;
0;"GUEST, Mr Robert";0;1;1
0;"BIRNBAUM, Mr Jakob";0;1;1
1;"TENGLIN, Mr Gunnar";0;0;1
1;"CAVENDISH, Mrs Julia";1;1;
0;"MAKINEN, Mr Kalle";0;1;1
0;"BRAF, Miss Elin";1;0;1
0;"NANCARROW, Mr William";0;1;1
1;"STENGEL, Mrs Annie";1;1;
0;"WEISZ, Mr Leopold";0;1;1
1;"FOLEY, Mr William";0;0;1
1;"JOHANSSON PALMQUIST, Mr Oskar";0;0;1
1;"THOMAS, Mrs Thamine";1;1;
0;"HOLTHEN, Mr Johan";0;1;1
1;"BUCKLEY, Mr Daniel";0;0;1
1;"RYAN, Mr Edward";0;0;1
0;"WILLER, Mr Abi";0;1;1
0;"SWANE, Mr George";0;1;1
0;"STANTON, Mr Samuel";0;1;1
1;"SHINE, Miss Ellen";1;1;
0;"EVANS, Miss Edith";1;0;1
0;"BUCKLEY, Miss Katherine";1;0;1
0;"STRAUS, Mrs Rosalie";1;0;1
0;"CHRONOPOULOS, Mr Demetrios";0;1;1
0;"THOMAS, Mr John";0;1;1
1;"SANDSTROM, Miss Beatrice";1;1;
0;"BEATTIE, Mr Thomson";0;1;1
0;"CHAPMAN, Mrs Sara";1;0;1
1;"WATT, Miss Bertha";1;1;
0;"KIERNAN, Mr John";0;1;1
1;"SCHABERT, Mrs Emma";1;1;
0;"CARVER, Mr Alfred";0;1;1
1;"KENNEDY, Mr John";0;0;1
1;"CRIBB, Miss Laura";1;1;
0;"BROBECK, Mr Karl";0;1;1
1;"MCCOY, Miss Alicia";0;0;1
0;"BOWENUR, Mr Solomon";0;1;1
0;"PETERSEN, Mr Marius";0;1;1
0;"SPINNER, Mr Henry";0;1;1
1;"GRACIE, Col Archibald";1;1;1
0;"LEFEBVRE, Mrs Frances";1;0;1
0;"THOMAS, Mr Charles";0;1;1
0;"DINTCHEFF, Mr Valtcho";0;1;1
0;"CARLSSON, Mr Carl";0;1;1
0;"ZAKARIAN, Mr Mapriededer";0;1;1
0;"SCHMIDT, Mr August";0;1;1
1;"DRAPKIN, Miss Jennie";1;1;1
0;"GOODWIN, Mr Charles";0;1;1
0;"GOODWIN, Miss Jessie";0;1;1
1;"DANIELS, Miss Sarah";1;1;
0;"RYERSON, Mr Arthur";0;1;1
